Dokuman_Numarasi,Tweet_Metni,Gercek_Duygu_Sinifi,Gercek_Urunhiz_Sinifi
D23515,ilk defa yemek sepetinde ettim pwwkkemsldmdşxfö,2,2
D23516,italyan restoranda ediyorum,2,2
D23517,sırf biber turşusu veriyorum,1,1
D23518,dünyadaki çinliler akşam yemeğini dışında yemek istese çin lokantalarında hepsinin oturacağı sayıda sandalye vardır,2,2
D23519,oranin yemek sepeti tarzinda evine sipariş yapim,2,2
D23520,dakikalarda masterchefturkiye izleyenler lahmacun siparişi veriyor dışarıdan eve etmiyorlarsa ekrana bakıp bakıp iç geçiriyordur vallahi billahi budakikate yapılır arkadaş,1,2
D23521,en çok 11 yurda etme yasağına gece 1 2 arka kapıdan yemek soktuğumuz günleri özledim,1,2
D23522,çatır çutur ses geliyor adamlar yerken reklamla akıl vermişler yemek sepetinden sipariş edin sağ olun,2,2
D23523,allahın belası dakikate verelim yemek,1,2
D23524,bu akşam yemek sepetinde lahmacun akımı olacak uzun süre beklersiniz sipariş vereceğiniz lahmacunları geçen sene çiğ köfte yaptıklarında aynısı olmuştu mastercheftürkiye,2,0
D23525,allahın belası dakikate verelim yemek,1,2
D23526,masterchefte lahmacun yapılır eşler yemek sepeti gt sipariş ver benimki youtube gt ahsen tv lahmacun şarkısı,1,2
D23527,dünyadaki çinliler akşam yemeğini ev dışında yemek istese çin lokantalarında hepsinin oturacağı sayıda sandalye vardır denir istanbullular internetten etse yetişecek sayıda moto-kurye sanırım akşam 8 vızır vızır dolaşıyorlar,1,0
D23528,insanın görünce canı çeker sipariş verir annem dün masterchef fragmanında görünce ayy yarın lahmacun yaptıralım onlarla birlikte yemek istiyorum bugüne randevu verdi canı çekmesi için,1,2
D23529,çok nadir yemek sepetinden sipariş veririm şu an masterchef izleyen insan evladının canının çektiği lahmacun çekti canım yemek sepeti sitesi çökmüş ashdrjsjs zor bela sipariş verebildim ulan masterchef,0,0
D23530,programin tadi kacti artik restaurantlarin yemek siparis sitelerinin kopegi oldu o dakikate siparis arttiracak ürünler pişiriliyor milletin canini çektirecek sekilde tadılıyor telefon icin bin takla atilan survivora döndü program duygu masterchecfturkiye masterchef2020,0,2
D23531,tüm türkiye veriyor aq yemek sepetine giremiyorum,0,0
D23532,sanırım yemek sepetinden edeceğim masterchef yüzünden,1,2
D23533,masterchef aç gt canın lahmacun çeksin gt masterchefi kapat gt yemek sepetinden sipariş ver gt masterchef izlemeye devam et the end,1,2
D23534,yemek sipariş edicektim pantolona giremediğim aklıma geldi seri üzgün,0,2
D23535,yemek sepeti reklamında bahsettiği lahmacunuysa şimdi siparis edelimmiiiiiiiiiii,2,2
D23536,masterchef ediyorum an,1,2
D23537,bu akşam yemek sepetinde lahmacun akımı olacak uzun süre beklersiniz sipariş vereceğiniz lahmacunları geçen sene çiğ köfte yaptıklarında aynısı olmuştu  mastercheftürkiye,0,0
D23538,annemle masterchef izliyoruz lahmacun yapacaklar mehmet şef tarifini vereyim annem heveslendi hadi ver adam yemek sepetinden sipariş edeceğimizi anlattı an garip anam çok sinirli duygularıyla oynamaya hakkınız var,0,2
D23539,masterchefte lahmacun yapıyorlar yapmadan canı çekti işin garibi araya reklam geldi yemek sepetinde sipariş vereceğim,1,2
D23540,tl param olmadığı edemiyorum dolar euro altın allam dertler ver işte,2,2
D23541,bugün arkadaşımla yemek verirken arkadaşım ısrarla et döner istediğini söyledi tavuk döner geldi  garsona söyleyip et dönerle değiştirdik,0,1
D23542,sipariş ettiğim noodle tuzlu gelmiştir yemek sepeti yorumlarında soya ısındıkça tuzlanan sostur,0,1
D23543,bırakın evet kayseri kullanıyorduk şimdi doğuda şehirde görev yapıyorum camdan bakınca restorant görünüyor evimle arası 50 metre yok yemek sepetinden sipariş vereyim diyorum paket servis dışı mesefedeymişim benden uzaktakiler istediğini alıyor ,0,0
D23544,china bloomdan verdim nota doğum ginim olduğunu yazdım paket pasta gönderdiler çok teşekkür ederiiim,1,1
D23545,tek basiniza yetismekte zorlandiginizi anliyorum is yapiyorsaniz musteriyi guncellemek bilgilendirmek durumundasiniz cevap isteyen musteriye yemek yemedim cevap sayilmaz tek basiniza basa cikabileceginiz sayida siparis verirseniz yemek yiyeck vaktiniz olur,0,0
D23546,anladik arkilerim yemek sepeti yapiyor gidin ordan siparis verin zaman kolay gelsi arada yeminle kurgu degil sizde seye kurgu diyonuz,2,2
D23547,bugün patronuma bağırdım 4 açtım aççççççç baktım etmiş ndjdjd boğaproblems,2,2
D23548,ev arkadaşım az yemek sepetinden süresi 50 60 dakikaya yazan yerden sipariş vermiş kafasını kedi kumuna sokmamak çok zor tutuyorum kendimi,0,0
D23549,şeyma yemek yedikten baklava sipariş ettik garson baklavayı getirip şimdi bıçak istersiniz,0,0
D23550,şeyma yemek yedikten baklava sipariş ettik garson baklavayı getirip şimdi bıçak istersiniz kusura bakma uğraştırdık keşke çatal getirmeseydin,0,0
D23551,keşke köyede yemek sepettinden sipariş verebilsek,0,0
D23553,pandemi döneminde sağlıkçı destek olmak elinden geleni yaptı bizde dahil kimse,1,2
D23554,tahmini zaman amerika evimde otururken yemek thai food sipariş edebileceğim,1,2
D23555,nereye baksam burger görmüyorum yemek sepeti bıktım youtube reklamlarından inadına evde yemek yapmayı öğreneceğim sipariş vermeyeceğim ,0,0
D23556,eve ettim kapıcı gelen adama evde değil merve hanım demiş manyak adam evde olmasam eve edeyim röveşatayla çözülmeyecek iş,0,2
D23557,ben yemek siparis ederken böyleyim motokurye sesi duyunca fırlıyorum balkona köşesinden bakıyorumkonuma metrafa bakarken görüp balkonda bekliyomuş aç ayı demesin,1,0
D23560,yemek sepetinden yemek siparis vermeye calisiyorum yogunluk dolu dene diyo kardesim denenebilcek durum şu an yemeğe ihtiyacim olabilecegini tartismayalim istersen,0,0
D23561,hatta bende ulaşmamamamamamamamadım mecburen evde yemek hazırlayıp yedim üstlük arkadaşlar dükkan kapalıydı sipariş almıyorduk yemeksepetine dönüş yapmışlar,0,0
D23562,yemek sepetinden sipariş et,2,2
D23563,erdinç dolanırken pehlivanköy panayırında kuzu çevirmeciye girmiş yemek söylemiş yemek gecikmiş yemek gelene çadırın önünden geçenleri çadırın sahibi gibi içeri almış oturtmuş sipariş almış kuzu çevirmeci erdinç panayıra beraber çalışalım demiş,2,2
D23564,aga iyisi eve et raad,2,2
D23565,yemek sepeti joker ver kardeşim telefonla edicem,0,0
D23566,ofisten çıkamıyorum ofis kartım bozuldu ettim 3 dakika oldu açım gerilmem normal hajsks,0,0
D23567,yemek sepetinden sipariş verdim 35 dakka geçti kontrol ediyim uygulamaya girdim siparişi onaylamamışım çok üzgünüm şuan,0,0
D23568,geçen ettiğimde siparişimi iptal ettikleri bugün sipariş verip siparişimi iptal ettim kin min yoktur bende hiç,0,0
D23569,herkese yemek sepeti açtır joker baktır jokerleri değerlendir uyacak karar ver sipariş ver geldiğinde ödemeyi organize et mutfağı organize et çöpü organize et vay babam vay,0,0
D23571,yemek siparişi ilaç siparişleri alıyorum sipariş fark ettiyseniz poşette olsun 1lira farkla kutuyu 30 yapamıyor,0,2
D23572,önlörö otoron gözöllöklör ulan köpekler sabahın köründe arayıp berkay yer tut yemek sepetinden sipariş verir gibi yer tutturuyordunuz,2,2
D23573,yemeksepetinden sipariş verirken konumi tarif edemiyorum  2 sipariş verdim ikisinde anlatırken parçalandım eve dair korkunç şey olmamalıydı,0,0
D23574,dün gece evimin altındaki restorana yemek yemeye değil wifi şifresini almaya gittim edip evime döndüm şimdi evimde çok hemen internetim allah affet ,2,2
D23575,rüyamda vermişim  siparişimi getiren konumi bulmakta zorlandıgı verdiğim 100lirayi aldı üstünü vermedi siparişimi karşımda yedi küfür ede ede gitti neler yaşıyor bilinç altımda,0,0
D23576,baktıkça yemek yapasım geliyor bulaşık çıkacağını hatırlayıp sipariş veriyorum benden olmaz malesef masterchefturkiye,2,2
D23577,yemek sepeti olmasa esnaftan sipariş veremiceksin yemeksepetinin hakkini yemis oluyosun şekilde esnaf allah insan insan hakkini vericeksin yemeksepeti devlet kdv aliyor aq istemiyorlarsa bünyesine girmezler batarlar basit,0,0
D23578,gece değişiklik yapıp etmedim sağlıklı olmuyor dakikate yemek,0,1
D23579,ara vermeden siparis vermek istiyorum yemek yerken yemek yemek istiyorum pizza gelmeden 2 dakika sonraki tantunimi nerden soylicegimi seciyorum,1,2
D23580,yemek sepeti aradı sipariş iptal edilmiş,0,0
D23581,eet siparis ettim yemek olmasina ragmen,1,2
D23582,perotti etsen gelmez demiştin geçen hafta amerika yürüyerek geliyor herhalde yemek evren abi fkfkckckcf,0,2
D23583,gerçi biber kebabı olunca aç kalınıyor dakikate versem annem tefe koyar açlık kazanmasın hocam boşverin,0,2
D23584,gece gece açız youtube reklam neye baksan pizza geliyorsa yemek sepeti sesi kulağımda çınlıyor şerefsizler tamam kazandınız açım aç sipariş verecem bilinçaltına iyi girdiniz ,1,0
D23585,yemek siparis edip yiyememisizdir cigkofteye dusmusuzdur cunku cankiridayizdir,0,0
D23586,5adet bayan geldi yemek siparişi verdi adetsi tortellini alfredo sipariş etmiş getirdim masaya siparişi tortellini olucaktı yha tortellini sipariş etmedik alfredo sipariş etmiştik ,2,2
D23588,pandemi döneminde sağlıkçı destek olmak elinden geleni yaptı bizde dahil kimse,1,2
D23589,noodle yemek istiyorum sürü siparis verecegim,1,2
D23590,italyanca türkçe sözlük açtım sipariş verebilmek 1 paragraf yemek ismi menüyü yanıma alabilir dil kursuna başlarsam kaynak olarak kullanırım,2,2
D23591,yemek sepetinden dakikate sipariş veriyorum umarım kurye küfür etmez,0,0
D23592,erzincanli oldugum icin film izlerken yemek yerken disarida kafede olursam olayim ayran siparis ediyorum,2,2
D23593,bütün uygulamalarının eksiği geceleri altın günü yiyecekleri servis edin bak satıyo,0,1
D23594,3 dakikatir siparişimi bekliyorum birdaha tanıdığım insanın yemek sepeti üzerinden yere sipariş vermesine izin vermeyeceğime yemin ediyorum,0,0
D23595,yemek sepetinden sipariş verdim  yemek gelmezse paramı isterim antin kuntin şeyleri aklıma soku,0,0
D23596,yemek sepetinden sipariş vermeyin abi dakikalerce mağdur ediyorlar insanı,0,0
D23597,yemek sepetinden sipariş verdim yemek gelmezse paramı isterim antin kuntin şeyleri aklıma sokuyorsunuz,0,0
D23598,oecd yeni raporu dünya ekonomisinde yapısal değişim işaretleri mesela korona sonrası sürekli olarak restoranda daha,2,2
D23599,anda canım çiğköfte istiyor aile evinde dışardan annemi şok edebilir,0,2
D23600,yemek sipariş ediyorum amacım karnımı doyurmak değil ay sonunu görememek,0,2
D23601,daha ısmarlamadığım yerlerden sipariş etmediğim yemekler sipariş edince aşırı geriliyorum yemek gelene imdb 8/10 resmen korkunç his iç sesim yedi numara pahalı sahnesi,0,0
D23602,2 dakika oldu yemek gelmedi sipariş numaramızı yolladım 30dakika oldu inceleme gelmedi necip fazıl dediği gelme neye yarar,0,0
D23603,ben bilincli olarak 3 kisilik yemek siparis edip kendimi boyle kandiriyorum,2,2
D23604,jdakikafnfjfjfjff sinirim bozuldu yemek siparis ettim,1,2
D23605,pandemi döneminde sağlıkçı destek olmak elinden geleni yaptı bizde dahil kimse,1,2
D23606,sizi allah kahretsin dakika 16 45 verdiğim sipariş eksik yanlış geldiği yetmedi sizinleiletmşim kurduğumda sefer düzelttik gönderdik demenize yemekler düzletilip gelmedi firmasınız parayı alıp siparişleri yemeksepeti yemek,0,0
D23607,yemek siparişi veriyodum ödemeyi kabul etmedi yaptım galiba 4 8 adet sipariş etmişim lets see,0,0
D23608,çekimlerinde çalışanlar yemek yemediği gizlice torbalar dolusu edip çalışanlara sürpriz yaptıl,1,2
D23609,sipariş iptal edip yenileyerek yemek bekleyerek dakikalerim gidiyor sinirlerim bozuluyor,0,2
D23610,18 47 etmiştim hâlâ gelmedi callcentera başvurduğumda sohbeti başlatamadım,0,0
D23611,yemek sepetini silicemmm kahretsin nefretimsin yemek sepeti sürekli sipariş edip yerken buluyorum kendimi öfffffff,1,0
D23612,akşam yemeği yemek istiyorsanız öğlen sipariş verin anca getiriyor krallar,0,0
D23613,onur arkadaşlarıyla mac izliyor yan odaya yemek sepetinden sipariş verir çay istiyorum  tşk gsvfb,2,2
D23614,yemek yemek siparişim hüsran oldu 1 dakika 20 dakikadır sipariş gelmedi destek bölümünden 20 dakikadır yazıyorum yanıt veren yok,0,0
D23615,yemekepeti kırk yılın başı sipariş vereceğiz adamı kanser ediyorsunuz istediğim tutarda veremiyorum illa 20lira olacak hadi tamam gönderim zamanı seç seçeneklere giriyorum boş aç kalacağım yüzünüzden,0,0
D23616,ufff midem kaziniyo yemek yapmaya useniom siparis versemliraharcamak istemiom geri uyuyim,0,2
D23617,oecd yeni raporu dünya ekonomisinde yapısal değişim işaretleri mesela korona sonrası sürekli olarak restoranda daha,2,2
D23618,oecd yeni raporu dünya ekonomisinde yapısal değişim işaretleri mesela korona sonrası sürekli olarak restoranda az yemek yiyip çok eve sipariş verebiliriz halde garsonları kurye yapacağımızı bugünden düşünmek gerekiyor,1,0
D23619,kafede sipariş edip yarım bıraktığım yemek sonraki gün acıktığımda aklıma gelince ben,2,2
D23620,kafede sipariş edip yarım bıraktığım yemek sonraki gün acıktığımda aklıma gelince ben,2,2
D23621,yemek yerken verdim,1,2
D23622,bizde herguün üşengeçlikten verelim,2,2
D23623,hayat yemek yapmanı istemez sipariş vermeni değil,1,2
D23624,yemek sepeti aracılığı burger king sipariş verdim siparişim onaylandı ücretini ödediğim halde sipariş verdiğim konumye gönderimin açık unutulduğu söylenerek siparişin getirilemeyeceği tarafıma bildirildi kurumsal kimliğinize güvenerek hata ettik,0,0
D23625,reality çekimlerinde çalışanlar yemek yemediği gizlice torbalar dolusu edip çalışanlara sürpriz yaptıl,1,2
D23626,annem yemek yapmış sipariş ederiz dedi,2,2
D23627,reality çekimlerinde çalışanlar yemek yemediği gizlice torbalar dolusu edip çalışanlara sürpriz yaptılar,1,2
D23628,yine hamburger siparis ettim yemek sepetinde 2516 puan var,1,2
D23629,yemek sipariş ettim getiren adam tatlı biriydi halimi hatrımı sordu şaşırdım resmen kibar görünce ağlıcam,1,0
D23630,pandemi döneminde sağlıkçı destek olmak elinden geleni yaptı bizde dahil kimse,1,2
D23631,litrelik icecegini yemek soyledigi restorandan siparis edene zengindir diyebilir,2,2
D23632,sipariş vermeyerek dostlarımın tabağından yemek yiyorum,2,2
D23633,yeğenime sushi sipariş verelim oluuur yanına yemek olarak söylicez kızım,2,2
D23634,pandemi döneminde sağlıkçı destek olmak elinden geleni yaptı bizde dahil kimse,1,2
D23635,yemek sipariş yemeksepetinden joker bekliyorum,2,0
D23637,çark istediğin şeyleri yazıyorsun mesela ediceksen yemekleri istediğini yazıyorsun çark dönüyor durduğunda kararın oluyor çeşit karar verme yöntemi,2,2
D23638,2 sene 4tl 25 kuruşa aldığım peyniri az 15tl 75 kuruşa sipariş ettim 16lira peynir olur kahvaltıda peynir ekmek yemek lüks sevdiğim ülkesinde ekonomiyiunutma,2,2
D23639,1 lt limonlu ice tea aldim suan yemek siparis edecen olsun,2,2
D23640,var yemek sepetinden isteyen sahibe yemek sepeti kölesiyim ödemesini yapıyorum enayiyim finansalköle keriz enayi,2,2
D23641,pandemi döneminde sağlıkçı destek olmak elinden geleni yaptı bizde dahil kimse,1,2
D23642,yemek sepetinden bişeyler yemek istiyorum köyde olduğum sipariş veremiyorum hayata sıfır geride başladığımı sayamıyorum artık,0,0
D23643,keyifli pazarlar öğlen dakikalerinde yemek sepetinden isteyen enayiyim sahibe finansalköle yemeksepetikölesi köle,2,2
D23644,benimde yemek sepetinden sipariş vermeye param yok,0,2
D23646,pandemi döneminde sağlıkçı destek olmak elinden geleni yaptı bizde dahil kimse,1,2
D23647,pandemi döneminde sağlıkçı destek olmak elinden geleni yaptı bizde dahil kimse,1,2
D23648,misafir gelen sipariş veriyor yemek yokmuş,2,2
D23649,sabaha yaklaştığımız dakikalerde öküz üst komşu arkadaşlarını eve toplamış etti kapıyı öküz kapattı aptal yaaaa hayvan kapı çarpmak evine gelen giden belli değil sabaha kadaaarr ortamlarda okul yok defolun evinize bounlular,0,2
D23650,yemek paylaşanlara yemek sepeti reklamlarına youtubeda pizzzaaaa diyen kadına aşırı ayar oluyorum sipariş gelmiyor yapmayın şunu yemek hassas noktam,0,0
D23651,pandemi döneminde sağlıkçı destek olmak elinden geleni yaptı bizde dahil kimse,1,2
D23652,"
yemek sepetinden şipariş vermeyi özledim",1,2
D23653,23 şubattan beri kafeye gitmedim yemek yemedim evime cantık bursalılar bilir sipariş vermedim vafıl yemeyi özledim dababa pizza yemeyi pasto sütlü tatlı yemeyi,1,2
D23654,pandemi döneminde sağlıkçı destek olmak elinden geleni yaptı bizde dahil kimse,1,2
D23655,mehmett 2015 lise yurdundayız acıktık yemek kötü yurt müdürü çıkmazsınız yasak sipariş verdik okulda yedik,1,2
D23656,pandemi döneminde sağlıkçı destek olmak elinden geleni yaptı bizde dahil kimse,1,2
D23658,2015 lise yurdundayız acıktık yemek kötü yurt müdürü çıkmazsınız yasak sipariş verdik okulda yedik ertesi sabah disiplindeydik,1,2
D23660,pandemi döneminde sağlıkçı destek olmak elinden geleni yaptı bizde dahil kimse,1,2
D23661,pandemi döneminde sağlıkçı destek olmak elinden geleni yaptı bizde dahil kimse,1,2
D23662,pandemi döneminde sağlıkçı destek olmak elinden geleni yaptı bizde dahil kimse,1,2
D23663,kötü yemek yiyince aşırı mutsuz oluyorum kahve arası şaşı ulan bozuk dakika ayda yılda verdiğim sipariş cidden güzel geliyor,2,2
D23664,pandemi döneminde sağlıkçı destek olmak elinden geleni yaptı bizde dahil kimse,1,2
D23665,yemek ödülüm geldi evde değildim bilerek evimin konumine sipariş ettirdim benden 10 yaş ufak kız kardeşim var,1,2
D23666,pandemi döneminde sağlıkçı destek olmak elinden geleni yaptı bizde dahil kimse,1,2
D23667,böyle canımın çektiği gün 11 adet vermiştim yemek sepetinden aramışlardı yanlış sipariş verdiniz an aynısını yapasım var,1,2
D23668,pandemi döneminde sağlıkçı destek olmak elinden geleni yaptı bizde dahil kimse,1,2
D23669,yemek ödülüm geldi evde değildim bilerek evimin konumine sipariş ettirdim benden 10 yaş ufak kız kardeşim var,1,2
D23670,yemek ödülüm geldi evde değildim bilerek evimin konumine sipariş ettirdim benden 10 yaş ufak kız kardeşim var,1,2
D23671,yemek ödülüm geldi evde değildim bilerek evimin konumine sipariş ettirdim benden 10 yaş ufak kız kardeşim sürpriz olsun istedim güzel telefonı aldım papara bahis değil çok güzel etkinlikti vesile olduğunuz teşekkür ederiz,1,2
D23672,pandemi döneminde sağlıkçı destek olmak elinden geleni yaptı bizde dahil kimse,1,2
D23673,legends1401 rahat olmalılar fanlar şeyleri kabullenemiyor mesela geçen bts youtubeda yayın açmıştı etmişler hoseok gfriend ayıralım demişti fanlar altyazı yanlış hoseok demedi değişin tutturdular değiştirildi altyazı,2,2
D23674,pandemi döneminde sağlıkçı destek olmak elinden geleni yaptı bizde dahil kimse,1,2
D23675,sipariş ettiğim yemek gelen yemek,2,2
D23676,pandemi döneminde sağlıkçı destek olmak elinden geleni yaptı bizde dahil kimse,1,2
D23677,kardeşim gir yemek sepetine sipariş et yia,2,2
D23678,pandemi döneminde sağlıkçı destek olmak elinden geleni yaptı bizde dahil kimse,1,2
D23679,yemek sepetinden sipariş verip instagrama girene kapı çaldı şok teşekkürler yemeksepeti ,1,2
D23680,pandemi döneminde sağlıkçı destek olmak elinden geleni yaptı bizde dahil kimse,1,2
D23681,pandemi döneminde sağlıkçı destek olmak elinden geleni yaptı bizde dahil kimse,1,2
D23682, iş yerlerine verdiğiniz yemek siparişlerin konumleri %60 yanlış yüzünüzden sipariş geç gittiği kuryeler kötü algılanıyoruz,0,0
D23683,az annem teyzemi arıycakken ettiğimiz yeri aramış,2,2
D23684,dün ettim siyahi adam gelip türk olup olmadığımı sordu adımı görünce evet dedikten türkçe konuşmaya başladı benimle türkçen çok güzelmiş öğrendin sorunca türk çok çikolata yedim yüzden renge döndüm dedi,2,2
D23685,pandemi döneminde sağlıkçı destek olmak elinden geleni yaptı bizde dahil kimse,1,2
D23686,pandemi döneminde sağlıkçı destek olmak elinden geleni yaptı bizde dahil kimse,1,2
D23687,18 15 yemek siparişi verdim 20 12 oldu sipariş gelmedi aradım beyefendi trafik olduğu ulan istanbul trafiğinde sürmez aq 21 00 işten çıkıyorum gelirse yerde yerim verdiğim siparişi,0,0
D23688,hastayım kalkıp yemek yapamıyom izmirden yemek siparis etmis aglıyom hüngür hüngür,1,2
D23689,yemek sepetinde firmalar arası savaşlar başlamış firma rakibi olduğu firmadan sipariş verdiriyor puan yorum kısmın,0,0
D23690,yemek sepetinde firmalar arası savaşlar başlamış firma rakibi olduğu firmadan sipariş verdiriyor puan yorum kısmın,0,0
D23691,yemek sepetinde firmalar arası savaşlar başlamış firma rakibi olduğu firmadan sipariş verdiriyor puan yorum kısmın,0,0
D23692,yemek sepetinde firmalar arası savaşlar başlamış firma rakibi olduğu firmadan sipariş verdiriyor puan yorum kısmın,0,0
D23693,yemek sepetinde firmalar arası savaşlar başlamış firma rakibi olduğu firmadan sipariş verdiriyor puan yorum kısmın,0,0
D23694,az trendyol girip etmeye çalıştım,2,2
D23695,malesef yok online sipariş yemek sepetinde yok beceremiyorum,0,0
D23696,yemek sepeti işe yarar kapıda kaldığınızda komşuya sipariş getiren kuryeye kimlikle kapı açtırmaya  ,1,0
D23697,pandemi döneminde sağlıkçı destek olmak elinden geleni yaptı bizde dahil kimse,1,2
D23698,örneğin polisiye cinayet filmlerinde pek yemek sahnesi sahnesi olmaz kişiler iyi koşan zayıf insanlar olurlar burda tam tersine yemek sahneleri çok abartılmış çok iştahlı durumun amacı var,0,2
D23699,hala yemek yememis olusum siparis verdim hazir napim,2,2
D23700,pandemi döneminde sağlıkçı destek olmak elinden geleni yaptı bizde dahil kimse,1,2
D23701,yemeğim bitti barış saka gibisin yemek yerken izlicektim siparis etsem atana acikirim,2,2
D23702,restoranda ana yemek olarak salata sipariş eden insana saygı duymam,0,2
D23703,sizden siparis veriyorduk artik gözümüzden düştünüz yemek sepetine yazacağım durumu,0,2
D23704,kuruma ettik kurye killa hakan çıktı,2,0
D23705,marttan beri dışarıdan yemek yedim sipariş ettim ast food reklamlarına dayanmak son zamanlarda çok zor oluyor,1,0
D23706,pandemi döneminde sağlıkçı destek olmak elinden geleni yaptı bizde dahil kimse,1,2
D23707,pandemi döneminde sağlıkçı destek olmak elinden geleni yaptı bizde dahil kimse,1,2
D23708,pandemi döneminde sağlıkçı destek olmak elinden geleni yaptı bizde dahil kimse,1,2
D23709,pandemi döneminde sağlıkçı destek olmak elinden geleni yaptı bizde dahil kimse,1,2
D23710,vodafone koduyla yemek sepetinden ediyim gömiyim 1 dakikatir uğraşıyorum olmadı teşekkürler 22 ekimde biten taahhütümden sizle görüşmemek geçiş yapıyorum,0,0
D23711,yemek sepetinden sipariş vereceğim zaman eba uygulamasına tıklıyorum sağım solum önüm arkam eba,2,2
D23712,yemek şiparisi verdiğimiz yerde odeme türünü yemek kartı seçtim firma farklı kişi almış yemek kartı odeme yapamadım şimdi sorun sipariş verdiğim firmanın,0,0
D23713,pandemi döneminde sağlıkçı destek olmak elinden geleni yaptı bizde dahil kimse,1,2
D23714,pandemi döneminde sağlıkçı destek olmak elinden geleni yaptı bizde dahil kimse,1,2
D23715,pandemi döneminde sağlıkçı destek olmak elinden geleni yaptı bizde dahil kimse,1,2
D23716,evde basit yemekleri nasil yemksepetinden siparis etmekten pahaliya gelmeye basladi aq yağ tuz salça urunler elinizin altinda olsa bircok yemekte disaridan yemek ucuz olmus napalim toplu yarrak kemirelim kitlik geliyor soyleyin bari,1,0
D23717,pandemi döneminde sağlıkçı destek olmak elinden geleni yaptı bizde dahil kimse,1,2
D23718,yemek sepetinde firmalar arası savaşlar başlamış firma rakibi olduğu firmadan sipariş verdiriyor puan yorum kısmın,1,2
D23719,yemek sepetinde firmalar arası savaşlar başlamış firma rakibi olduğu firmadan sipariş verdiriyor puan yorum kısmın,1,2
D23720,yemek sepetinde firmalar arası savaşlar başlamış firma rakibi olduğu firmadan sipariş verdiriyor puan yorum kısmın,1,2
D23721,yemek sepetinde firmalar arası savaşlar başlamış firma rakibi olduğu firmadan sipariş verdiriyor puan yorum kısmın,1,2
D23722,pandemi döneminde sağlıkçı destek olmak elinden geleni yaptı bizde dahil kimse,1,2
D23723,yemek sepetinde firmalar arası savaşlar başlamış firma rakibi olduğu firmadan sipariş verdiriyor puan yorum kısmın,0,0
D23724,yemek sepetinde firmalar arası savaşlar başlamış firma rakibi olduğu firmadan sipariş verdiriyor puan yorum kısmında sipariş verdiği firmayı yerlere vuruyor yemek sepetinden bilgi istiyoruz neyi eksik yapmışız dönüş yok,0,0
D23725,pandemi döneminde sağlıkçı destek olmak elinden geleni yaptı bizde dahil kimse,1,2
D23726,pandemi döneminde sağlıkçı destek olmak elinden geleni yaptı bizde dahil kimse,1,2
D23727,pandemi döneminde sağlıkçı destek olmak elinden geleni yaptı bizde dahil kimse,1,2
D23728,pandemi döneminde sağlıkçı destek olmak elinden geleni yaptı bizde dahil kimse,1,2
D23729,pandemi döneminde sağlıkçı destek olmak elinden geleni yaptı bizde dahil kimse,1,2
D23730,pandemi döneminde sağlıkçı destek olmak elinden geleni yaptı bizde dahil gıda sektörünü çalışanı göz önüne koymadı kurye ilaç getirsin kurye yemek getirsin kurye internetten sipariş getirsin kurye insan degilmi,1,2
D23731,ders dakikainde sınıfın öğretmenin sahibi olduğu kırtasiyeden tost sipariş etmesi birlikte yemek hocanın sürekli kırtasiyesinden birşeyler satmaya çalışması,2,2
D23732,canım sıkıldıkça yemek sepetine girerim karnım acıkır sipariş veririm döngü devam ediyor,1,2
D23733,komşu kızın annesi kızını över nakış dikiş yemek herşeyi becerir annem kötülerdi okuyor misafir geliyor mardinli ağabeyi aradım su böreği gözleme sipariş ettim annem haklı çıktı cumartesi,2,2
D23734,barış video bugün gelicekse eve dürüm sipariş edicem videoyu izlerken yemek için,2,2
D23735,yemek sipariş edecem alo adam selamın aleyküm diyorum kapatıyor telefonu selam verişimi beğenmedi heralde allahsız,0,0
D23736,peki yemek sepetine attığım sipariş gelmeyince açıp bakmam sipariş vermeyi unutmam rezaleti,0,2
D23737,evime yakın çok güzel diyet restaurant bulmuş durumdayım verme alışkanlığım tatmin oluyor midem müthiş,1,2
D23738,becerebilseniz yemek sepetinden sipariş ettiğim fenerbahçe taraftar menüsü gelen menünün alakası yok kurye pişkin pişkin aabi değil dışı istedik iade ettim,0,1
D23739,yemek değil sipariş vericen skdakikasğpd cikarsa seversin işte,2,2
D23740,yemek sipariş etmiştim yaşımdaki çocuk iyi günler abisi kendimi 20 yaşımın günü yenilenmiş hissetimm,1,0
D23741,ryujin bugünün patates kızartması yemek istiyorduk yüzden kızarmış tavuk yapan lokantaya,2,2
D23742,ryujin bugünün patates kızartması yemek istiyorduk yüzden kızarmış tavuk yapan lokantaya gittik bol miktarda ettik üyeler geldi beraber patates kızartması partisi yaptık,2,2
D23743,tam evde yemek yok sipariş versem kara kara düşünürken üst komşu ölmüş sağolsun,0,2
D23744,kardeşlerim büyük mutluluğum sonrasında kedi rozerin hanim sabah erken kalkmadigim çok geç uyanmadigim günler yeni actigim sigara paketi soğuk kola dondurma evde yemek varken dışardan sipariş sevdiğim birkaç,1,2
D23745,ben yemek sepetinden değil ot sepetinden sipariş vermek istiyorum,0,2
D23746,yemek sepeti boşuna reklam çıkarma koçum vermeyeceğim sipariş,0,0
D23747,hayir abla dakikate yemek siparis etmeyi aklima sokma,0,2
D23748,gece gece canım pizza çekti tek sorun annem dün etti hayatta yedirmez süre dışardan,0,2
